Velocity (km/s),Altitude (km)
7.404,100.815
7.404,100.784
7.404,100.753
7.404,100.721
7.404,100.69
7.404,100.659
7.404,100.627
7.404,100.596
7.404,100.564
7.403,100.532
7.403,100.501
7.403,100.469
7.403,100.437
7.403,100.405
7.403,100.373
7.403,100.341
7.403,100.309
7.403,100.277
7.403,100.244
7.403,100.212
7.402,100.18
7.402,100.147
7.402,100.114
7.402,100.082
7.402,100.049
7.402,100.016
7.402,99.984
7.402,99.951
7.402,99.918
7.402,99.885
7.401,99.851
7.401,99.818
7.401,99.785
7.401,99.752
7.401,99.718
7.401,99.685
7.401,99.651
7.401,99.618
7.401,99.584
7.401,99.55
7.4,99.516
7.4,99.482
7.4,99.448
7.4,99.414
7.4,99.38
7.4,99.346
7.4,99.312
7.4,99.277
7.4,99.243
7.399,99.208
7.399,99.174
7.399,99.139
7.399,99.104
7.399,99.069
7.399,99.034
7.399,98.999
7.399,98.964
7.398,98.929
7.398,98.894
7.398,98.858
7.398,98.823
7.398,98.788
7.398,98.752
7.398,98.716
7.398,98.681
7.397,98.645
7.397,98.609
7.397,98.573
7.397,98.537
7.397,98.501
7.397,98.464
7.397,98.428
7.397,98.392
7.396,98.355
7.396,98.319
7.396,98.282
7.396,98.245
7.396,98.208
7.396,98.171
7.396,98.134
7.395,98.097
7.395,98.06
7.395,98.023
7.395,97.985
7.395,97.948
7.395,97.91
7.395,97.873
7.394,97.835
7.394,97.797
7.394,97.759
7.394,97.721
7.394,97.683
7.394,97.645
7.394,97.606
7.393,97.568
7.393,97.53
7.393,97.491
7.393,97.452
7.393,97.414
7.393,97.375
7.392,97.336
7.392,97.297
7.392,97.257
7.392,97.218
7.392,97.179
7.392,97.139
7.391,97.1
7.391,97.06
7.391,97.02
7.391,96.981
7.391,96.941
7.391,96.901
7.39,96.86
7.39,96.82
7.39,96.78
7.39,96.739
7.39,96.699
7.39,96.658
7.389,96.617
7.389,96.576
7.389,96.535
7.389,96.494
7.389,96.453
7.388,96.412
7.388,96.37
7.388,96.329
7.388,96.287
7.388,96.245
7.387,96.203
7.387,96.161
7.387,96.119
7.387,96.077
7.387,96.035
7.386,95.992
7.386,95.95
7.386,95.907
7.386,95.864
7.386,95.822
7.385,95.779
7.385,95.735
7.385,95.692
7.385,95.649
7.385,95.605
7.384,95.562
7.384,95.518
7.384,95.474
7.384,95.43
7.384,95.386
7.383,95.342
7.383,95.298
7.383,95.253
7.383,95.209
7.382,95.164
7.382,95.119
7.382,95.074
7.382,95.029
7.381,94.984
7.381,94.939
7.381,94.893
7.381,94.848
7.381,94.802
7.38,94.756
7.38,94.71
7.38,94.664
7.38,94.618
7.379,94.572
7.379,94.525
7.379,94.479
7.379,94.432
7.378,94.385
7.378,94.338
7.378,94.291
7.377,94.244
7.377,94.196
7.377,94.149
7.377,94.101
7.376,94.053
7.376,94.005
7.376,93.957
7.376,93.909
7.375,93.86
7.375,93.812
7.375,93.763
7.374,93.714
7.374,93.665
7.374,93.616
7.374,93.567
7.373,93.518
7.373,93.468
7.373,93.418
7.372,93.369
7.372,93.319
7.372,93.268
7.372,93.218
7.371,93.168
7.371,93.117
7.371,93.066
7.37,93.015
7.37,92.964
7.37,92.913
7.369,92.862
7.369,92.81
7.369,92.758
7.368,92.706
7.368,92.654
7.368,92.602
7.367,92.55
7.367,92.497
7.367,92.445
7.366,92.392
7.366,92.339
7.366,92.285
7.365,92.232
7.365,92.179
7.365,92.125
7.364,92.071
7.364,92.017
7.364,91.963
7.363,91.908
7.363,91.854
7.362,91.799
7.362,91.744
7.362,91.689
7.361,91.634
7.361,91.578
7.361,91.523
7.36,91.467
7.36,91.411
7.359,91.355
7.359,91.298
7.359,91.242
7.358,91.185
7.358,91.128
7.357,91.071
7.357,91.014
7.356,90.956
7.356,90.899
7.356,90.841
7.355,90.783
7.355,90.725
7.354,90.666
7.354,90.607
7.353,90.549
7.353,90.49
7.353,90.43
7.352,90.371
7.352,90.311
7.351,90.251
7.351,90.191
7.35,90.131
7.35,90.071
