Material,Object,Altitude (km),Mass (kg)
drama-AA7075,PCU,68.872,13.45
drama-AA7075,PCU,68.718,13.45
drama-AA7075,PCU,68.563,13.45
drama-AA7075,PCU,68.407,13.45
drama-AA7075,PCU,68.25,13.45
drama-AA7075,PCU,68.091,13.45
drama-AA7075,PCU,67.931,13.45
drama-AA7075,PCU,67.769,13.45
drama-AA7075,PCU,67.606,13.45
drama-AA7075,PCU,67.442,13.45
drama-AA7075,PCU,67.276,13.45
drama-AA7075,PCU,67.109,13.45
drama-AA7075,PCU,66.94,13.45
drama-AA7075,PCU,66.769,13.45
drama-AA7075,PCU,66.597,13.45
drama-AA7075,PCU,66.424,13.45
drama-AA7075,PCU,66.248,13.45
drama-AA7075,PCU,66.071,13.45
drama-AA7075,PCU,65.892,13.45
drama-AA7075,PCU,65.712,13.45
drama-AA7075,PCU,65.53,13.45
drama-AA7075,PCU,65.346,13.392
drama-AA7075,PCU,65.16,12.789
drama-AA7075,PCU,64.972,12.186
drama-AA7075,PCU,64.783,11.583
drama-AA7075,PCU,64.591,10.98
drama-AA7075,PCU,64.398,10.379
drama-AA7075,PCU,64.203,9.779
drama-AA7075,PCU,64.006,9.182
drama-AA7075,PCU,63.807,8.586
drama-AA7075,PCU,63.606,7.994
drama-AA7075,PCU,63.403,7.406
drama-AA7075,PCU,63.199,6.821
drama-AA7075,PCU,62.993,6.242
drama-AA7075,PCU,62.784,5.668
drama-AA7075,PCU,62.574,5.1
drama-AA7075,PCU,62.363,4.539
drama-AA7075,PCU,62.149,3.986
drama-AA7075,PCU,61.934,3.441
drama-AA7075,PCU,61.717,2.906
drama-AA7075,PCU,61.498,2.382
drama-AA7075,PCU,61.278,1.869
drama-AA7075,PCU,61.056,1.368
drama-AA7075,PCU,60.833,0.881
drama-AA7075,PCU,60.608,0.408
drama-AA7075,PCU,60.382,0.0
drama-AA7075,SAsupp1,87.844,1.7
drama-AA7075,SAsupp1,87.838,1.7
drama-AA7075,SAsupp1,87.81,1.7
drama-AA7075,SAsupp1,87.748,1.7
drama-AA7075,SAsupp1,87.686,1.7
drama-AA7075,SAsupp1,87.624,1.7
