# Documentation: DRAMA Software User Manual, section 7.3.2.7
latitude, imp.probability [1], casualty [1], fatality [1]
89.30833333334486, 4.6296296296333137E-5, 0.0, 0.0
89.30000000001152, 4.629629629625419E-5, 0.0, 0.0
89.2916666666782, 4.6296296296333137E-5, 0.0, 0.0
89.28333333334486, 4.629629629625419E-5, 0.0, 0.0
89.27500000001153, 4.6296296296333137E-5, 0.0, 0.0
89.26666666667819, 4.6296296296333137E-5, 0.0, 0.0
89.25833333334485, 4.629629629625419E-5, 0.0, 0.0
89.25000000001153, 4.6296296296333137E-5, 0.0, 0.0
89.24166666667819, 4.629629629625419E-5, 0.0, 0.0
89.23333333334486, 4.6296296296333137E-5, 0.0, 0.0
89.22500000001152, 4.629629629625419E-5, 0.0, 0.0
89.2166666666782, 4.6296296296333137E-5, 0.0, 0.0
89.20833333334485, 4.6296296296333137E-5, 0.0, 0.0
89.20000000001151, 4.629629629625419E-5, 0.0, 0.0
89.19166666667819, 4.6296296296333137E-5, 0.0, 0.0
89.18333333334485, 4.629629629625419E-5, 0.0, 0.0
89.17500000001152, 4.6296296296333137E-5, 0.0, 0.0
89.16666666667818, 4.629629629625419E-5, 0.0, 0.0
89.15833333334486, 4.6296296296333137E-5, 0.0, 0.0
89.15000000001152, 4.6296296296333137E-5, 0.0, 0.0
89.14166666667818, 4.629629629625419E-5, 0.0, 0.0
89.13333333334485, 4.6296296296333137E-5, 0.0, 0.0
89.12500000001151, 4.629629629625419E-5, 0.0, 0.0
89.11666666667819, 4.6296296296333137E-5, 0.0, 0.0
89.10833333334485, 4.629629629625419E-5, 0.0, 0.0
89.10000000001152, 4.6296296296333137E-5, 0.0, 0.0
89.09166666667818, 4.6296296296333137E-5, 0.0, 0.0
89.08333333334484, 4.629629629625419E-5, 0.0, 0.0
89.07500000001151, 4.6296296296333137E-5, 0.0, 0.0
89.06666666667817, 4.629629629625419E-5, 0.0, 0.0
89.05833333334485, 4.6296296296333137E-5, 0.0, 0.0
89.05000000001151, 4.629629629625419E-5, 0.0, 0.0
89.04166666667818, 4.6296296296333137E-5, 0.0, 0.0
89.03333333334484, 4.6296296296333137E-5, 0.0, 0.0
89.0250000000115, 4.629629629625419E-5, 0.0, 0.0
89.01666666667818, 4.6296296296333137E-5, 0.0, 0.0
89.00833333334484, 4.629629629625419E-5, 0.0, 0.0
89.00000000001151, 4.6296296296333137E-5, 0.0, 0.0
88.99166666667817, 4.629629629625419E-5, 0.0, 0.0
88.98333333334485, 4.6296296296333137E-5, 0.0, 0.0
88.9750000000115, 4.6296296296333137E-5, 0.0, 0.0
88.96666666667817, 4.629629629625419E-5, 0.0, 0.0
88.95833333334484, 4.6296296296333137E-5, 0.0, 0.0
88.9500000000115, 4.629629629625419E-5, 0.0, 0.0
88.94166666667817, 4.6296296296333137E-5, 0.0, 0.0
88.93333333334483, 4.629629629625419E-5, 0.0, 0.0
88.92500000001151, 4.6296296296333137E-5, 0.0, 0.0
88.91666666667817, 4.6296296296333137E-5, 0.0, 0.0
88.90833333334483, 4.629629629625419E-5, 0.0, 0.0
88.9000000000115, 4.6296296296333137E-5, 0.0, 0.0
88.89166666667816, 4.629629629625419E-5, 0.0, 0.0
88.88333333334484, 4.6296296296333137E-5, 0.0, 0.0
88.8750000000115, 4.629629629625419E-5, 0.0, 0.0
88.86666666667817, 4.6296296296333137E-5, 0.0, 0.0
88.85833333334483, 4.6296296296333137E-5, 0.0, 0.0
88.85000000001149, 4.629629629625419E-5, 0.0, 0.0
88.84166666667817, 4.6296296296333137E-5, 0.0, 0.0
88.83333333334483, 4.629629629625419E-5, 0.0, 0.0
88.8250000000115, 4.6296296296333137E-5, 0.0, 0.0
88.81666666667816, 4.629629629625419E-5, 0.0, 0.0
88.80833333334483, 4.6296296296333137E-5, 0.0, 0.0
88.8000000000115, 4.6296296296333137E-5, 0.0, 0.0
88.79166666667815, 4.629629629625419E-5, 0.0, 0.0
88.78333333334483, 4.6296296296333137E-5, 0.0, 0.0
88.77500000001149, 4.629629629625419E-5, 0.0, 0.0
88.76666666667816, 4.6296296296333137E-5, 0.0, 0.0
88.75833333334482, 4.629629629625419E-5, 0.0, 0.0
88.7500000000115, 4.6296296296333137E-5, 0.0, 0.0
88.74166666667816, 4.6296296296333137E-5, 0.0, 0.0
88.73333333334482, 4.629629629625419E-5, 0.0, 0.0
88.72500000001149, 4.6296296296333137E-5, 0.0, 0.0
88.71666666667815, 4.629629629625419E-5, 0.0, 0.0
88.70833333334483, 4.6296296296333137E-5, 0.0, 0.0
88.70000000001149, 4.629629629625419E-5, 0.0, 0.0
88.69166666667816, 4.6296296296333137E-5, 0.0, 0.0
88.68333333334482, 4.6296296296333137E-5, 0.0, 0.0
88.67500000001148, 4.629629629625419E-5, 0.0, 0.0
88.66666666667815, 4.6296296296333137E-5, 0.0, 0.0
88.65833333334481, 4.629629629625419E-5, 0.0, 0.0
88.65000000001149, 4.6296296296333137E-5, 0.0, 0.0
88.64166666667815, 4.629629629625419E-5, 0.0, 0.0
88.63333333334482, 4.6296296296333137E-5, 0.0, 0.0
88.62500000001148, 4.6296296296333137E-5, 0.0, 0.0
88.61666666667814, 4.629629629625419E-5, 0.0, 0.0
88.60833333334482, 4.6296296296333137E-5, 0.0, 0.0
88.60000000001148, 4.629629629625419E-5, 0.0, 0.0
88.59166666667815, 4.6296296296333137E-5, 0.0, 0.0
88.58333333334481, 4.629629629625419E-5, 0.0, 0.0
88.57500000001149, 4.6296296296333137E-5, 0.0, 0.0
88.56666666667815, 4.629629629625419E-5, 0.0, 0.0
88.55833333334482, 4.6296296296333137E-5, 0.0, 0.0
88.55000000001148, 4.6296296296333137E-5, 0.0, 0.0
88.54166666667814, 4.629629629625419E-5, 0.0, 0.0
88.53333333334481, 4.6296296296333137E-5, 0.0, 0.0
88.52500000001147, 4.629629629625419E-5, 0.0, 0.0
88.51666666667815, 4.6296296296333137E-5, 0.0, 0.0
88.50833333334481, 4.629629629625419E-5, 0.0, 0.0
88.50000000001148, 4.6296296296333137E-5, 0.0, 0.0
88.49166666667814, 4.6296296296333137E-5, 0.0, 0.0
88.4833333333448, 4.629629629625419E-5, 0.0, 0.0
88.47500000001148, 4.6296296296333137E-5, 0.0, 0.0
88.46666666667814, 4.629629629625419E-5, 0.0, 0.0
88.45833333334481, 4.6296296296333137E-5, 0.0, 0.0
88.45000000001147, 4.629629629625419E-5, 0.0, 0.0
88.44166666667815, 4.6296296296333137E-5, 0.0, 0.0
88.4333333333448, 4.6296296296333137E-5, 0.0, 0.0
88.42500000001147, 4.629629629625419E-5, 0.0, 0.0
88.41666666667814, 4.6296296296333137E-5, 0.0, 0.0
88.4083333333448, 4.629629629625419E-5, 0.0, 0.0
88.40000000001147, 4.6296296296333137E-5, 0.0, 0.0
88.39166666667813, 4.629629629625419E-5, 0.0, 0.0
88.38333333334481, 4.6296296296333137E-5, 0.0, 0.0
88.37500000001147, 4.6296296296333137E-5, 0.0, 0.0
88.36666666667813, 4.629629629625419E-5, 0.0, 0.0
88.3583333333448, 4.6296296296333137E-5, 0.0, 0.0
88.35000000001146, 4.629629629625419E-5, 0.0, 0.0
88.34166666667814, 4.6296296296333137E-5, 0.0, 0.0
88.3333333333448, 4.629629629625419E-5, 0.0, 0.0
88.32500000001147, 4.6296296296333137E-5, 0.0, 0.0
88.31666666667813, 4.6296296296333137E-5, 0.0, 0.0
88.30833333334479, 4.629629629625419E-5, 0.0, 0.0
88.30000000001147, 4.6296296296333137E-5, 0.0, 0.0
88.29166666667813, 4.629629629625419E-5, 0.0, 0.0
88.2833333333448, 4.6296296296333137E-5, 0.0, 0.0
88.27500000001146, 4.629629629625419E-5, 0.0, 0.0
88.26666666667813, 4.6296296296333137E-5, 0.0, 0.0
88.2583333333448, 4.6296296296333137E-5, 0.0, 0.0
88.25000000001145, 4.629629629625419E-5, 0.0, 0.0
88.24166666667813, 4.6296296296333137E-5, 0.0, 0.0
88.23333333334479, 4.629629629625419E-5, 0.0, 0.0
88.22500000001146, 4.6296296296333137E-5, 0.0, 0.0
88.21666666667812, 4.629629629625419E-5, 0.0, 0.0
88.2083333333448, 4.6296296296333137E-5, 0.0, 0.0
88.20000000001146, 4.6296296296333137E-5, 0.0, 0.0
88.19166666667812, 4.629629629625419E-5, 0.0, 0.0
88.18333333334479, 4.6296296296333137E-5, 0.0, 0.0
88.17500000001145, 4.629629629625419E-5, 0.0, 0.0
88.16666666667813, 4.6296296296333137E-5, 0.0, 0.0
88.15833333334479, 4.629629629625419E-5, 0.0, 0.0
88.15000000001146, 4.6296296296333137E-5, 0.0, 0.0
88.14166666667812, 4.6296296296333137E-5, 0.0, 0.0
88.13333333334478, 4.629629629625419E-5, 0.0, 0.0
88.12500000001145, 4.6296296296333137E-5, 0.0, 0.0
88.11666666667811, 4.629629629625419E-5, 0.0, 0.0
88.10833333334479, 4.6296296296333137E-5, 0.0, 0.0
88.10000000001145, 4.629629629625419E-5, 0.0, 0.0
88.09166666667812, 4.6296296296333137E-5, 0.0, 0.0
88.08333333334478, 4.6296296296333137E-5, 0.0, 0.0
88.07500000001144, 4.629629629625419E-5, 0.0, 0.0
88.06666666667812, 4.6296296296333137E-5, 0.0, 0.0
88.05833333334478, 4.629629629625419E-5, 0.0, 0.0
88.05000000001145, 4.6296296296333137E-5, 0.0, 0.0
88.04166666667811, 4.629629629625419E-5, 0.0, 0.0
88.03333333334479, 4.6296296296333137E-5, 0.0, 0.0
88.02500000001145, 4.6296296296333137E-5, 0.0, 0.0
88.0166666666781, 4.629629629625419E-5, 0.0, 0.0
88.00833333334478, 4.6296296296333137E-5, 0.0, 0.0
88.00000000001144, 4.629629629625419E-5, 0.0, 0.0
87.99166666667811, 4.6296296296333137E-5, 0.0, 0.0
87.98333333334477, 4.629629629625419E-5, 0.0, 0.0
87.97500000001145, 4.6296296296333137E-5, 0.0, 0.0
87.96666666667811, 4.6296296296333137E-5, 0.0, 0.0
87.95833333334477, 4.629629629625419E-5, 0.0, 0.0
87.95000000001144, 4.6296296296333137E-5, 0.0, 0.0
87.9416666666781, 4.629629629625419E-5, 0.0, 0.0
87.93333333334478, 4.6296296296333137E-5, 0.0, 0.0
87.92500000001144, 4.629629629625419E-5, 0.0, 0.0
87.91666666667811, 4.6296296296333137E-5, 0.0, 0.0
87.90833333334477, 4.6296296296333137E-5, 0.0, 0.0
