Altitude (km)	Objet	Matériau	Mass (kg)
73.797	ValvTran1	drama-A316	0.497000
73.616	ValvTran1	drama-A316	0.475000
73.432	ValvTran1	drama-A316	0.452000
73.247	ValvTran1	drama-A316	0.429000
73.060	ValvTran1	drama-A316	0.406000
72.872	ValvTran1	drama-A316	0.382000
72.681	ValvTran1	drama-A316	0.358000
72.489	ValvTran1	drama-A316	0.334000
72.296	ValvTran1	drama-A316	0.310000
72.101	ValvTran1	drama-A316	0.286000
71.904	ValvTran1	drama-A316	0.262000
71.706	ValvTran1	drama-A316	0.238000
71.506	ValvTran1	drama-A316	0.214000
71.305	ValvTran1	drama-A316	0.190000
71.103	ValvTran1	drama-A316	0.167000
70.899	ValvTran1	drama-A316	0.144000
70.694	ValvTran1	drama-A316	0.122000
70.489	ValvTran1	drama-A316	0.102000
70.284	ValvTran1	drama-A316	0.083000
70.078	ValvTran1	drama-A316	0.065000
69.874	ValvTran1	drama-A316	0.051000
69.671	ValvTran1	drama-A316	0.039000
69.472	ValvTran1	drama-A316	0.031000
69.277	ValvTran1	drama-A316	0.028000
69.087	ValvTran1	drama-A316	0.028000
68.902	ValvTran1	drama-A316	0.028000
68.721	ValvTran1	drama-A316	0.028000
68.543	ValvTran1	drama-A316	0.028000
68.367	ValvTran1	drama-A316	0.028000
68.193	ValvTran1	drama-A316	0.028000
68.020	ValvTran1	drama-A316	0.028000
67.849	ValvTran1	drama-A316	0.028000
67.677	ValvTran1	drama-A316	0.028000
67.506	ValvTran1	drama-A316	0.028000
67.334	ValvTran1	drama-A316	0.028000
67.162	ValvTran1	drama-A316	0.028000
66.989	ValvTran1	drama-A316	0.028000
66.815	ValvTran1	drama-A316	0.028000
66.640	ValvTran1	drama-A316	0.028000
66.464	ValvTran1	drama-A316	0.028000
66.286	ValvTran1	drama-A316	0.028000
66.107	ValvTran1	drama-A316	0.028000
65.926	ValvTran1	drama-A316	0.028000
65.743	ValvTran1	drama-A316	0.028000
65.559	ValvTran1	drama-A316	0.028000
65.372	ValvTran1	drama-A316	0.028000
65.184	ValvTran1	drama-A316	0.028000
64.993	ValvTran1	drama-A316	0.028000
64.800	ValvTran1	drama-A316	0.028000
64.606	ValvTran1	drama-A316	0.028000
64.409	ValvTran1	drama-A316	0.028000
64.210	ValvTran1	drama-A316	0.028000
64.009	ValvTran1	drama-A316	0.028000
63.805	ValvTran1	drama-A316	0.028000
63.600	ValvTran1	drama-A316	0.028000
63.392	ValvTran1	drama-A316	0.028000
63.182	ValvTran1	drama-A316	0.028000
62.970	ValvTran1	drama-A316	0.028000
62.756	ValvTran1	drama-A316	0.028000
62.540	ValvTran1	drama-A316	0.028000
62.321	ValvTran1	drama-A316	0.028000
62.101	ValvTran1	drama-A316	0.028000
61.878	ValvTran1	drama-A316	0.028000
61.654	ValvTran1	drama-A316	0.028000
61.427	ValvTran1	drama-A316	0.028000
61.199	ValvTran1	drama-A316	0.028000
60.968	ValvTran1	drama-A316	0.028000
60.736	ValvTran1	drama-A316	0.028000
60.502	ValvTran1	drama-A316	0.028000
60.266	ValvTran1	drama-A316	0.028000
60.029	ValvTran1	drama-A316	0.028000
59.790	ValvTran1	drama-A316	0.028000
59.549	ValvTran1	drama-A316	0.028000
59.306	ValvTran1	drama-A316	0.028000
59.062	ValvTran1	drama-A316	0.028000
58.817	ValvTran1	drama-A316	0.028000
58.570	ValvTran1	drama-A316	0.028000
58.321	ValvTran1	drama-A316	0.028000
58.071	ValvTran1	drama-A316	0.028000
57.820	ValvTran1	drama-A316	0.028000
57.568	ValvTran1	drama-A316	0.028000
