Altitude (km),Knudsen
97.336,0.35263
97.297,0.35015
97.257,0.34769
97.218,0.34523
97.179,0.34279
97.139,0.34036
97.1,0.33794
97.06,0.33553
97.02,0.33313
96.981,0.33074
96.941,0.32837
96.901,0.326
96.86,0.32365
96.82,0.32131
96.78,0.31898
96.739,0.31666
96.699,0.31435
96.658,0.31205
96.617,0.30977
96.576,0.30749
96.535,0.30523
96.494,0.30298
96.453,0.30074
96.412,0.29851
96.37,0.29629
96.329,0.29409
96.287,0.29189
96.245,0.28971
96.203,0.28753
96.161,0.28537
96.119,0.28322
96.077,0.28108
96.035,0.27895
95.992,0.27683
95.95,0.27472
95.907,0.27263
95.864,0.27054
95.822,0.26847
95.779,0.2664
95.735,0.26435
95.692,0.2623
95.649,0.26027
95.605,0.25825
95.562,0.25624
95.518,0.25424
95.474,0.25225
95.43,0.25027
95.386,0.2483
95.342,0.24634
95.298,0.24439
95.253,0.24245
95.209,0.24052
95.164,0.2386
95.119,0.23669
95.074,0.23479
95.029,0.2329
94.984,0.23102
94.939,0.22914
94.893,0.22728
94.848,0.22543
94.802,0.22359
94.756,0.22176
94.71,0.21993
94.664,0.21812
94.618,0.21632
94.572,0.21453
94.525,0.21275
94.479,0.21098
94.432,0.20922
94.385,0.20747
94.338,0.20572
94.291,0.20399
94.244,0.20227
94.196,0.20056
94.149,0.19886
94.101,0.19717
94.053,0.19549
94.005,0.19381
93.957,0.19215
93.909,0.1905
93.86,0.18885
93.812,0.18722
93.763,0.1856
93.714,0.18398
93.665,0.18238
93.616,0.18078
93.567,0.1792
93.518,0.17762
93.468,0.17605
93.418,0.1745
93.369,0.17295
93.319,0.17141
93.268,0.16988
93.218,0.16836
93.168,0.16685
93.117,0.16535
93.066,0.16386
93.015,0.16237
92.964,0.1609
92.913,0.15944
92.862,0.15798
92.81,0.15654
92.758,0.1551
92.706,0.15367
92.654,0.15225
92.602,0.15085
92.55,0.14945
92.497,0.14805
92.445,0.14667
92.392,0.1453
92.339,0.14393
92.285,0.14258
92.232,0.14123
92.179,0.13989
92.125,0.13857
92.071,0.13724
92.017,0.13593
91.963,0.13463
91.908,0.13334
91.854,0.13205
91.799,0.13077
91.744,0.12951
91.689,0.12825
91.634,0.127
91.578,0.12575
91.523,0.12452
91.467,0.12329
91.411,0.12207
91.355,0.12086
91.298,0.11966
91.242,0.11847
91.185,0.11729
91.128,0.11611
91.071,0.11494
91.014,0.11378
90.956,0.11263
90.899,0.11149
90.841,0.11035
90.783,0.10922
90.725,0.1081
90.666,0.10699
90.607,0.10588
90.549,0.10479
90.49,0.1037
90.43,0.10262
90.371,0.10154
90.311,0.10048
90.251,0.09942
90.191,0.09837
90.131,0.09732
90.071,0.09629
90.01,0.09526
89.949,0.09424
89.888,0.09323
89.827,0.09222
89.765,0.09122
89.704,0.09023
89.642,0.08925
89.579,0.08827
89.517,0.0873
89.454,0.08634
89.392,0.08538
89.329,0.08443
89.265,0.08349
89.202,0.08256
89.138,0.08163
89.074,0.08071
89.01,0.0798
88.946,0.0789
88.881,0.078
88.816,0.07711
88.751,0.07622
88.686,0.07534
88.62,0.07447
88.554,0.07361
