Temps (s),Altitude (km)
822.55,110.778
823.55,110.762
824.55,110.746
825.55,110.729
826.55,110.713
827.55,110.696
828.55,110.68
829.55,110.663
830.55,110.647
831.55,110.63
832.55,110.614
833.55,110.597
834.55,110.581
835.55,110.564
836.55,110.548
837.55,110.531
838.55,110.514
839.55,110.498
840.55,110.481
841.55,110.465
842.55,110.448
843.55,110.431
844.55,110.415
845.55,110.398
846.55,110.381
847.55,110.364
848.55,110.348
849.55,110.331
850.55,110.314
851.55,110.297
852.55,110.28
853.55,110.263
854.55,110.247
855.55,110.23
856.55,110.213
857.55,110.196
858.55,110.179
859.55,110.162
860.55,110.145
861.55,110.128
862.55,110.111
863.55,110.094
864.55,110.077
865.55,110.06
866.55,110.043
867.55,110.026
868.55,110.009
869.55,109.992
870.55,109.974
871.55,109.957
872.55,109.94
873.55,109.923
874.55,109.906
875.55,109.889
876.55,109.871
877.55,109.854
878.55,109.837
879.55,109.819
880.55,109.802
881.55,109.785
882.55,109.767
883.55,109.75
884.55,109.733
885.55,109.715
886.55,109.698
887.55,109.68
888.55,109.663
889.55,109.646
890.55,109.628
891.55,109.611
892.55,109.593
893.55,109.575
894.55,109.558
895.55,109.54
896.55,109.523
897.55,109.505
898.55,109.487
899.55,109.47
900.55,109.452
901.55,109.434
902.55,109.417
903.55,109.399
904.55,109.381
905.55,109.363
906.55,109.346
907.55,109.328
908.55,109.31
909.55,109.292
910.55,109.274
911.55,109.256
912.55,109.238
913.55,109.22
914.55,109.202
915.55,109.184
916.55,109.166
917.55,109.148
918.55,109.13
919.55,109.112
920.55,109.094
921.55,109.076
922.55,109.058
923.55,109.04
924.55,109.022
925.55,109.004
926.55,108.985
927.55,108.967
928.55,108.949
929.55,108.931
930.55,108.912
931.55,108.894
932.55,108.876
933.55,108.857
934.55,108.839
935.55,108.821
936.55,108.802
937.55,108.784
938.55,108.765
939.55,108.747
940.55,108.728
941.55,108.71
942.55,108.691
943.55,108.673
944.55,108.654
